vehicleId,road,speedKmh
V001,Central Station-City Airport,55
V002,Central Station-City Airport,48
V003,Central Station-City Airport,22
V004,Central Station-City Airport,18
V005,Central Station-City Airport,25
V006,Central Station-Grand Mall,60
V007,Central Station-Grand Mall,58
V008,Central Station-Grand Mall,15
V009,Central Station-Grand Mall,12
V010,Central Station-Grand Mall,10
V011,Central Station-Grand Mall,20
V012,University Campus-Tech Hub,62
V013,University Campus-Tech Hub,59
V014,University Campus-Grand Mall,55
V015,University Campus-Grand Mall,50
V016,General Hospital-Riverside Park,65
V017,General Hospital-Riverside Park,70
V018,Grand Mall-Riverside Park,14
V019,Grand Mall-Riverside Park,18
V020,Grand Mall-Riverside Park,22
V021,Grand Mall-Tech Hub,40
V022,Grand Mall-Tech Hub,35
V023,Central Station-University Campus,68
V024,Central Station-University Campus,72
V025,Riverside Park-Old Town,60
V026,Riverside Park-Old Town,55
V027,Old Town-Tech Hub,30
V028,Old Town-Tech Hub,28
V029,City Airport-University Campus,80
V030,City Airport-General Hospital,45
